WEO Country Code,ISO,WEO Subject Code,Subject Descriptor,Units,Scale,2019
512,AFG,GGX_NGDP,General government total expenditure,Percent of GDP,,28.212
512,AFG,GGXCNL,General government net lending/borrowing,National currency,Billions,-11.793
512,AFG,GGXCNL_NGDP,General government net lending/borrowing,Percent of GDP,,-0.785
512,AFG,GGXONLB,General government primary net lending/borrowing,National currency,Billions,-11.013
512,AFG,GGXONLB_NGDP,General government primary net lending/borrowing,Percent of GDP,,-0.733
512,AFG,GGXWDG,General government gross debt,National currency,Billions,113.389
512,AFG,GGXWDG_NGDP,General government gross debt,Percent of GDP,,7.547
512,AFG,NGDP_FY,"Gross domestic product corresponding to fiscal year, current prices",National currency,Billions,"1,502.47"
512,AFG,BCA,Current account balance,U.S. dollars,Billions,0.377
512,AFG,BCA_NGDPD,Current account balance,Percent of GDP,,2.01
914,ALB,NGDP_R,"Gross domestic product, constant prices",National currency,Billions,845.631
914,ALB,NGDP_RPCH,"Gross domestic product, constant prices",Percent change,,2.983
914,ALB,NGDP,"Gross domestic product, current prices",National currency,Billions,"1,705.38"
914,ALB,NGDPD,"Gross domestic product, current prices",U.S. dollars,Billions,15.418
914,ALB,PPPGDP,"Gross domestic product, current prices",Purchasing power parity; international dollars,Billions,40.151
914,ALB,NGDP_D,"Gross domestic product, deflator",Index,,201.67
914,ALB,NGDPRPC,"Gross domestic product per capita, constant prices",National currency,Units,"294,674.14"
914,ALB,NGDPRPPPPC,"Gross domestic product per capita, constant prices",Purchasing power parity; 2011 international dollar,Units,"12,214.67"
914,ALB,NGDPPC,"Gross domestic product per capita, current prices",National currency,Units,"594,268.49"
914,ALB,NGDPDPC,"Gross domestic product per capita, current prices",U.S. dollars,Units,"5,372.74"
914,ALB,PPPPC,"Gross domestic product per capita, current prices",Purchasing power parity; international dollars,Units,"13,991.14"
914,ALB,PPPSH,Gross domestic product based on purchasing-power-parity (PPP) share of world total,Percent,,0.028
914,ALB,PPPEX,Implied PPP conversion rate,National currency per current international dollar,,42.475
914,ALB,NID_NGDP,Total investment,Percent of GDP,,24.07
914,ALB,NGSD_NGDP,Gross national savings,Percent of GDP,,17.408
914,ALB,PCPI,"Inflation, average consumer prices",Index,,107.287
914,ALB,PCPIPCH,"Inflation, average consumer prices",Percent change,,1.799
914,ALB,PCPIE,"Inflation, end of period consumer prices",Index,,107.791
914,ALB,PCPIEPCH,"Inflation, end of period consumer prices",Percent change,,1.8
914,ALB,TM_RPCH,Volume of imports of goods and services,Percent change,,3.624
914,ALB,TMG_RPCH,Volume of Imports of goods,Percent change,,2.179
914,ALB,TX_RPCH,Volume of exports of goods and services,Percent change,,1.736
914,ALB,TXG_RPCH,Volume of exports of goods,Percent change,,-4.626
914,ALB,LUR,Unemployment rate,Percent of total labor force,,13.719
914,ALB,LP,Population,Persons,Millions,2.87
914,ALB,GGR,General government revenue,National currency,Billions,462.558
914,ALB,GGR_NGDP,General government revenue,Percent of GDP,,27.123
914,ALB,GGX,General government total expenditure,National currency,Billions,505.946
914,ALB,GGX_NGDP,General government total expenditure,Percent of GDP,,29.668
914,ALB,GGXCNL,General government net lending/borrowing,National currency,Billions,-43.388
914,ALB,GGXCNL_NGDP,General government net lending/borrowing,Percent of GDP,,-2.544
914,ALB,GGXONLB,General government primary net lending/borrowing,National currency,Billions,-6.205
914,ALB,GGXONLB_NGDP,General government primary net lending/borrowing,Percent of GDP,,-0.364
914,ALB,GGXWDN,General government net debt,National currency,Billions,"1,006.70"
914,ALB,GGXWDN_NGDP,General government net debt,Percent of GDP,,59.031
914,ALB,GGXWDG,General government gross debt,National currency,Billions,"1,137.10"
914,ALB,GGXWDG_NGDP,General government gross debt,Percent of GDP,,66.677
914,ALB,NGDP_FY,"Gross domestic product corresponding to fiscal year, current prices",National currency,Billions,"1,705.38"
914,ALB,BCA,Current account balance,U.S. dollars,Billions,-1.017
914,ALB,BCA_NGDPD,Current account balance,Percent of GDP,,-6.595
612,DZA,NGDP_R,"Gross domestic product, constant prices",National currency,Billions,"7,658.45"
612,DZA,NGDP_RPCH,"Gross domestic product, constant prices",Percent change,,2.553
612,DZA,NGDP,"Gross domestic product, current prices",National currency,Billions,"20,447.36"
612,DZA,NGDPD,"Gross domestic product, current prices",U.S. dollars,Billions,172.781
612,DZA,PPPGDP,"Gross domestic product, current prices",Purchasing power parity; international dollars,Billions,681.396
612,DZA,NGDP_D,"Gross domestic product, deflator",Index,,266.991
612,DZA,NGDPRPC,"Gross domestic product per capita, constant prices",National currency,Units,"176,417.22"
612,DZA,NGDPRPPPPC,"Gross domestic product per capita, constant prices",Purchasing power parity; 2011 international dollar,Units,"13,703.40"
612,DZA,NGDPPC,"Gross domestic product per capita, current prices",National currency,Units,"471,017.86"
612,DZA,NGDPDPC,"Gross domestic product per capita, current prices",U.S. dollars,Units,"3,980.12"
612,DZA,PPPPC,"Gross domestic product per capita, current prices",Purchasing power parity; international dollars,Units,"15,696.39"
612,DZA,PPPSH,Gross domestic product based on purchasing-power-parity (PPP) share of world total,Percent,,0.48
612,DZA,PPPEX,Implied PPP conversion rate,National currency per current international dollar,,30.008
612,DZA,NID_NGDP,Total investment,Percent of GDP,,43.531
612,DZA,NGSD_NGDP,Gross national savings,Percent of GDP,,30.974
612,DZA,PCPI,"Inflation, average consumer prices",Index,,206.298
612,DZA,PCPIPCH,"Inflation, average consumer prices",Percent change,,2
612,DZA,PCPIE,"Inflation, end of period consumer prices",Index,,210.875
612,DZA,PCPIEPCH,"Inflation, end of period consumer prices",Percent change,,3.9
612,DZA,TM_RPCH,Volume of imports of goods and services,Percent change,,-0.605
612,DZA,TMG_RPCH,Volume of Imports of goods,Percent change,,-0.605
612,DZA,TX_RPCH,Volume of exports of goods and services,Percent change,,3.3
612,DZA,TXG_RPCH,Volume of exports of goods,Percent change,,1.848
612,DZA,LUR,Unemployment rate,Percent of total labor force,,12.472
612,DZA,LP,Population,Persons,Millions,43.411
612,DZA,GGR,General government revenue,National currency,Billions,"6,267.09"
612,DZA,GGR_NGDP,General government revenue,Percent of GDP,,30.65
612,DZA,GGX,General government total expenditure,National currency,Billions,"7,917.69"
612,DZA,GGX_NGDP,General government total expenditure,Percent of GDP,,38.722
612,DZA,GGXCNL,General government net lending/borrowing,National currency,Billions,"-1,650.60"
612,DZA,GGXCNL_NGDP,General government net lending/borrowing,Percent of GDP,,-8.072
612,DZA,GGXONLB,General government primary net lending/borrowing,National currency,Billions,"-1,696.73"
612,DZA,GGXONLB_NGDP,General government primary net lending/borrowing,Percent of GDP,,-8.298
612,DZA,GGXWDN,General government net debt,National currency,Billions,"7,635.46"
612,DZA,GGXWDN_NGDP,General government net debt,Percent of GDP,,37.342
612,DZA,GGXWDG,General government gross debt,National currency,Billions,"9,421.09"
612,DZA,GGXWDG_NGDP,General government gross debt,Percent of GDP,,46.075
612,DZA,NGDP_FY,"Gross domestic product corresponding to fiscal year, current prices",National currency,Billions,"20,447.36"
612,DZA,BCA,Current account balance,U.S. dollars,Billions,-21.697
612,DZA,BCA_NGDPD,Current account balance,Percent of GDP,,-12.557
614,AGO,NGDP_R,"Gross domestic product, constant prices",National currency,Billions,"1,563.39"
614,AGO,NGDP_RPCH,"Gross domestic product, constant prices",Percent change,,-0.265
614,AGO,NGDP,"Gross domestic product, current prices",National currency,Billions,"31,474.10"
614,AGO,NGDPD,"Gross domestic product, current prices",U.S. dollars,Billions,91.527
614,AGO,PPPGDP,"Gross domestic product, current prices",Purchasing power parity; international dollars,Billions,203.433
614,AGO,NGDP_D,"Gross domestic product, deflator",Index,,"2,013.19"
614,AGO,NGDPRPC,"Gross domestic product per capita, constant prices",National currency,Units,"51,892.50"
614,AGO,NGDPRPPPPC,"Gross domestic product per capita, constant prices",Purchasing power parity; 2011 international dollar,Units,"5,895.03"
614,AGO,NGDPPC,"Gross domestic product per capita, current prices",National currency,Units,"1,044,696.48"
614,AGO,NGDPDPC,"Gross domestic product per capita, current prices",U.S. dollars,Units,"3,037.98"
614,AGO,PPPPC,"Gross domestic product per capita, current prices",Purchasing power parity; international dollars,Units,"6,752.38"
614,AGO,PPPSH,Gross domestic product based on purchasing-power-parity (PPP) share of world total,Percent,,0.143
614,AGO,PPPEX,Implied PPP conversion rate,National currency per current international dollar,,154.715
614,AGO,NID_NGDP,Total investment,Percent of GDP,,20.069
614,AGO,NGSD_NGDP,Gross national savings,Percent of GDP,,20.994
614,AGO,PCPI,"Inflation, average consumer prices",Index,,353.061
614,AGO,PCPIPCH,"Inflation, average consumer prices",Percent change,,17.211
614,AGO,PCPIE,"Inflation, end of period consumer prices",Index,,381.647
614,AGO,PCPIEPCH,"Inflation, end of period consumer prices",Percent change,,17
614,AGO,TM_RPCH,Volume of imports of goods and services,Percent change,,1.664
614,AGO,TMG_RPCH,Volume of Imports of goods,Percent change,,-0.211
614,AGO,TX_RPCH,Volume of exports of goods and services,Percent change,,0.656
614,AGO,TXG_RPCH,Volume of exports of goods,Percent change,,0.496
614,AGO,LP,Population,Persons,Millions,30.128
614,AGO,GGR,General government revenue,National currency,Billions,"6,284.67"
614,AGO,GGR_NGDP,General government revenue,Percent of GDP,,19.968
614,AGO,GGX,General government total expenditure,National currency,Billions,"6,044.45"
614,AGO,GGX_NGDP,General government total expenditure,Percent of GDP,,19.205
614,AGO,GGXCNL,General government net lending/borrowing,National currency,Billions,240.22
614,AGO,GGXCNL_NGDP,General government net lending/borrowing,Percent of GDP,,0.763
614,AGO,GGSB,General government structural balance,National currency,Billions,96.461
614,AGO,GGSB_NPGDP,General government structural balance,Percent of potential GDP,,0.316
614,AGO,GGXONLB,General government primary net lending/borrowing,National currency,Billions,"1,854.74"
614,AGO,GGXONLB_NGDP,General government primary net lending/borrowing,Percent of GDP,,5.893
614,AGO,GGXWDG,General government gross debt,National currency,Billions,"29,898.10"
614,AGO,GGXWDG_NGDP,General government gross debt,Percent of GDP,,94.993
614,AGO,NGDP_FY,"Gross domestic product corresponding to fiscal year, current prices",National currency,Billions,"31,474.10"
614,AGO,BCA,Current account balance,U.S. dollars,Billions,0.847
614,AGO,BCA_NGDPD,Current account balance,Percent of GDP,,0.925
311,ATG,NGDP_R,"Gross domestic product, constant prices",National currency,Billions,3.658
311,ATG,NGDP_RPCH,"Gross domestic product, constant prices",Percent change,,4.031
311,ATG,NGDP,"Gross domestic product, current prices",National currency,Billions,4.558
311,ATG,NGDPD,"Gross domestic product, current prices",U.S. dollars,Billions,1.688
311,ATG,PPPGDP,"Gross domestic product, current prices",Purchasing power parity; international dollars,Billions,2.735
311,ATG,NGDP_D,"Gross domestic product, deflator",Index,,124.585
311,ATG,NGDPRPC,"Gross domestic product per capita, constant prices",National currency,Units,"39,245.96"
311,ATG,NGDPRPPPPC,"Gross domestic product per capita, constant prices",Purchasing power parity; 2011 international dollar,Units,"25,619.67"
311,ATG,NGDPPC,"Gross domestic product per capita, current prices",National currency,Units,"48,894.56"
311,ATG,NGDPDPC,"Gross domestic product per capita, current prices",U.S. dollars,Units,"18,109.10"
311,ATG,PPPPC,"Gross domestic product per capita, current prices",Purchasing power parity; international dollars,Units,"29,345.73"
311,ATG,PPPSH,Gross domestic product based on purchasing-power-parity (PPP) share of world total,Percent,,0.002
311,ATG,PPPEX,Implied PPP conversion rate,National currency per current international dollar,,1.666
311,ATG,NID_NGDP,Total investment,Percent of GDP,,25.607
311,ATG,NGSD_NGDP,Gross national savings,Percent of GDP,,19.551
311,ATG,PCPI,"Inflation, average consumer prices",Index,,141.129
311,ATG,PCPIPCH,"Inflation, average consumer prices",Percent change,,1.587
311,ATG,PCPIE,"Inflation, end of period consumer prices",Index,,142.482
311,ATG,PCPIEPCH,"Inflation, end of period consumer prices",Percent change,,2.028
311,ATG,TM_RPCH,Volume of imports of goods and services,Percent change,,4.962
311,ATG,TMG_RPCH,Volume of Imports of goods,Percent change,,4.713
311,ATG,TX_RPCH,Volume of exports of goods and services,Percent change,,5.071
311,ATG,TXG_RPCH,Volume of exports of goods,Percent change,,6.244
311,ATG,LP,Population,Persons,Millions,0.093
311,ATG,GGR,General government revenue,National currency,Billions,0.926
311,ATG,GGR_NGDP,General government revenue,Percent of GDP,,20.308
311,ATG,GGX,General government total expenditure,National currency,Billions,1.117
311,ATG,GGX_NGDP,General government total expenditure,Percent of GDP,,24.513
311,ATG,GGXCNL,General government net lending/borrowing,National currency,Billions,-0.192
311,ATG,GGXCNL_NGDP,General government net lending/borrowing,Percent of GDP,,-4.205
311,ATG,GGXONLB,General government primary net lending/borrowing,National currency,Billions,-0.031
311,ATG,GGXONLB_NGDP,General government primary net lending/borrowing,Percent of GDP,,-0.679
311,ATG,GGXWDG,General government gross debt,National currency,Billions,4.102
311,ATG,GGXWDG_NGDP,General government gross debt,Percent of GDP,,90.002
311,ATG,NGDP_FY,"Gross domestic product corresponding to fiscal year, current prices",National currency,Billions,4.558
311,ATG,BCA,Current account balance,U.S. dollars,Billions,-0.102
311,ATG,BCA_NGDPD,Current account balance,Percent of GDP,,-6.055
213,ARG,NGDP_R,"Gross domestic product, constant prices",National currency,Billions,685.678
213,ARG,NGDP_RPCH,"Gross domestic product, constant prices",Percent change,,-3.061
213,ARG,NGDP,"Gross domestic product, current prices",National currency,Billions,"21,603.14"
213,ARG,NGDPD,"Gross domestic product, current prices",U.S. dollars,Billions,445.469
213,ARG,PPPGDP,"Gross domestic product, current prices",Purchasing power parity; international dollars,Billions,903.542
213,ARG,NGDP_D,"Gross domestic product, deflator",Index,,"3,150.62"
213,ARG,NGDPRPC,"Gross domestic product per capita, constant prices",National currency,Units,"15,219.56"
213,ARG,NGDPRPPPPC,"Gross domestic product per capita, constant prices",Purchasing power parity; 2011 international dollar,Units,"17,508.89"
213,ARG,NGDPPC,"Gross domestic product per capita, current prices",National currency,Units,"479,511.05"
213,ARG,NGDPDPC,"Gross domestic product per capita, current prices",U.S. dollars,Units,"9,887.79"
213,ARG,PPPPC,"Gross domestic product per capita, current prices",Purchasing power parity; international dollars,Units,"20,055.34"
213,ARG,PPPSH,Gross domestic product based on purchasing-power-parity (PPP) share of world total,Percent,,0.637
213,ARG,PPPEX,Implied PPP conversion rate,National currency per current international dollar,,23.909
213,ARG,NID_NGDP,Total investment,Percent of GDP,,18.53
213,ARG,NGSD_NGDP,Gross national savings,Percent of GDP,,17.328
213,ARG,PCPI,"Inflation, average consumer prices",Index,,438.546
213,ARG,PCPIPCH,"Inflation, average consumer prices",Percent change,,54.44
213,ARG,PCPIE,"Inflation, end of period consumer prices",Index,,542.966
213,ARG,PCPIEPCH,"Inflation, end of period consumer prices",Percent change,,57.305
213,ARG,TM_RPCH,Volume of imports of goods and services,Percent change,,-15.789
213,ARG,TMG_RPCH,Volume of Imports of goods,Percent change,,-15.322
213,ARG,TX_RPCH,Volume of exports of goods and services,Percent change,,9.892
213,ARG,TXG_RPCH,Volume of exports of goods,Percent change,,10.241
213,ARG,LUR,Unemployment rate,Percent of total labor force,,10.63
213,ARG,LP,Population,Persons,Millions,45.052
213,ARG,GGR,General government revenue,National currency,Billions,"7,258.50"
213,ARG,GGR_NGDP,General government revenue,Percent of GDP,,33.599
213,ARG,GGX,General government total expenditure,National currency,Billions,"8,115.02"
213,ARG,GGX_NGDP,General government total expenditure,Percent of GDP,,37.564
213,ARG,GGXCNL,General government net lending/borrowing,National currency,Billions,-856.515
213,ARG,GGXCNL_NGDP,General government net lending/borrowing,Percent of GDP,,-3.965
213,ARG,GGSB,General government structural balance,National currency,Billions,-521.111
213,ARG,GGSB_NPGDP,General government structural balance,Percent of potential GDP,,-2.274
213,ARG,GGXONLB,General government primary net lending/borrowing,National currency,Billions,-135.166
213,ARG,GGXONLB_NGDP,General government primary net lending/borrowing,Percent of GDP,,-0.626
213,ARG,GGXWDG,General government gross debt,National currency,Billions,"20,155.88"
213,ARG,GGXWDG_NGDP,General government gross debt,Percent of GDP,,93.301
213,ARG,NGDP_FY,"Gross domestic product corresponding to fiscal year, current prices",National currency,Billions,"21,603.14"
213,ARG,BCA,Current account balance,U.S. dollars,Billions,-5.357
213,ARG,BCA_NGDPD,Current account balance,Percent of GDP,,-1.203
911,ARM,NGDP_R,"Gross domestic product, constant prices",National currency,Billions,"4,036.89"
911,ARM,NGDP_RPCH,"Gross domestic product, constant prices",Percent change,,6
911,ARM,NGDP,"Gross domestic product, current prices",National currency,Billions,"6,541.00"
911,ARM,NGDPD,"Gross domestic product, current prices",U.S. dollars,Billions,13.444
911,ARM,PPPGDP,"Gross domestic product, current prices",Purchasing power parity; international dollars,Billions,32.909
911,ARM,NGDP_D,"Gross domestic product, deflator",Index,,162.031
911,ARM,NGDPRPC,"Gross domestic product per capita, constant prices",National currency,Units,"1,359,556.33"
911,ARM,NGDPRPPPPC,"Gross domestic product per capita, constant prices",Purchasing power parity; 2011 international dollar,Units,"9,675.85"
911,ARM,NGDPPC,"Gross domestic product per capita, current prices",National currency,Units,"2,202,900.04"
911,ARM,NGDPDPC,"Gross domestic product per capita, current prices",U.S. dollars,Units,"4,527.59"
911,ARM,PPPPC,"Gross domestic product per capita, current prices",Purchasing power parity; international dollars,Units,"11,083.07"
911,ARM,PPPSH,Gross domestic product based on purchasing-power-parity (PPP) share of world total,Percent,,0.023
911,ARM,PPPEX,Implied PPP conversion rate,National currency per current international dollar,,198.763
911,ARM,NID_NGDP,Total investment,Percent of GDP,,23.098
911,ARM,NGSD_NGDP,Gross national savings,Percent of GDP,,15.697
911,ARM,PCPI,"Inflation, average consumer prices",Index,,291.888
911,ARM,PCPIPCH,"Inflation, average consumer prices",Percent change,,1.735
911,ARM,PCPIE,"Inflation, end of period consumer prices",Index,,294.999
911,ARM,PCPIEPCH,"Inflation, end of period consumer prices",Percent change,,1.493
911,ARM,TM_RPCH,Volume of imports of goods and services,Percent change,,4.01
911,ARM,TMG_RPCH,Volume of Imports of goods,Percent change,,1.719
911,ARM,TX_RPCH,Volume of exports of goods and services,Percent change,,7.938
911,ARM,TXG_RPCH,Volume of exports of goods,Percent change,,1.11
911,ARM,LUR,Unemployment rate,Percent of total labor force,,17.698
911,ARM,LP,Population,Persons,Millions,2.969
911,ARM,GGR,General government revenue,National currency,Billions,"1,538.46"
911,ARM,GGR_NGDP,General government revenue,Percent of GDP,,23.52
911,ARM,GGX,General government total expenditure,National currency,Billions,"1,636.33"
911,ARM,GGX_NGDP,General government total expenditure,Percent of GDP,,25.016
911,ARM,GGXCNL,General government net lending/borrowing,National currency,Billions,-97.865
911,ARM,GGXCNL_NGDP,General government net lending/borrowing,Percent of GDP,,-1.496
911,ARM,GGXONLB,General government primary net lending/borrowing,National currency,Billions,60.191
911,ARM,GGXONLB_NGDP,General government primary net lending/borrowing,Percent of GDP,,0.92
911,ARM,GGXWDG,General government gross debt,National currency,Billions,"3,273.71"
911,ARM,GGXWDG_NGDP,General government gross debt,Percent of GDP,,50.049
911,ARM,NGDP_FY,"Gross domestic product corresponding to fiscal year, current prices",National currency,Billions,"6,541.00"
911,ARM,BCA,Current account balance,U.S. dollars,Billions,-0.995
911,ARM,BCA_NGDPD,Current account balance,Percent of GDP,,-7.402
314,ABW,NGDP_R,"Gross domestic product, constant prices",National currency,Billions,3.473
314,ABW,NGDP_RPCH,"Gross domestic product, constant prices",Percent change,,0.7
314,ABW,NGDP,"Gross domestic product, current prices",National currency,Billions,5.196
314,ABW,NGDPD,"Gross domestic product, current prices",U.S. dollars,Billions,2.903
314,ABW,PPPGDP,"Gross domestic product, current prices",Purchasing power parity; international dollars,Billions,4.487
314,ABW,NGDP_D,"Gross domestic product, deflator",Index,,149.599
314,ABW,NGDPRPC,"Gross domestic product per capita, constant prices",National currency,Units,"31,081.50"
314,ABW,NGDPRPPPPC,"Gross domestic product per capita, constant prices",Purchasing power parity; 2011 international dollar,Units,"35,050.77"
314,ABW,NGDPPC,"Gross domestic product per capita, current prices",National currency,Units,"46,497.47"
314,ABW,NGDPDPC,"Gross domestic product per capita, current prices",U.S. dollars,Units,"25,976.24"
314,ABW,PPPPC,"Gross domestic product per capita, current prices",Purchasing power parity; international dollars,Units,"40,148.46"
314,ABW,PPPSH,Gross domestic product based on purchasing-power-parity (PPP) share of world total,Percent,,0.003
314,ABW,PPPEX,Implied PPP conversion rate,National currency per current international dollar,,1.158
314,ABW,NGSD_NGDP,Gross national savings,Percent of GDP,,19.679
314,ABW,PCPI,"Inflation, average consumer prices",Index,,124.569
314,ABW,PCPIPCH,"Inflation, average consumer prices",Percent change,,3.013
314,ABW,PCPIE,"Inflation, end of period consumer prices",Index,,125.279
314,ABW,PCPIEPCH,"Inflation, end of period consumer prices",Percent change,,1.845
314,ABW,LP,Population,Persons,Millions,0.112
314,ABW,GGR,General government revenue,National currency,Billions,1.399
314,ABW,GGR_NGDP,General government revenue,Percent of GDP,,26.917
314,ABW,GGX,General government total expenditure,National currency,Billions,1.434
314,ABW,GGX_NGDP,General government total expenditure,Percent of GDP,,27.592
314,ABW,GGXCNL,General government net lending/borrowing,National currency,Billions,-0.035
314,ABW,GGXCNL_NGDP,General government net lending/borrowing,Percent of GDP,,-0.675
314,ABW,GGXONLB,General government primary net lending/borrowing,National currency,Billions,0.197
314,ABW,GGXONLB_NGDP,General government primary net lending/borrowing,Percent of GDP,,3.796
314,ABW,GGXWDG,General government gross debt,National currency,Billions,4.306
314,ABW,GGXWDG_NGDP,General government gross debt,Percent of GDP,,82.871
314,ABW,NGDP_FY,"Gross domestic product corresponding to fiscal year, current prices",National currency,Billions,5.196
314,ABW,BCA,Current account balance,U.S. dollars,Billions,-0.052
314,ABW,BCA_NGDPD,Current account balance,Percent of GDP,,-1.785
193,AUS,NGDP_R,"Gross domestic product, constant prices",National currency,Billions,"1,868.68"
193,AUS,NGDP_RPCH,"Gross domestic product, constant prices",Percent change,,1.713
193,AUS,NGDP,"Gross domestic product, current prices",National currency,Billions,"1,983.33"
193,AUS,NGDPD,"Gross domestic product, current prices",U.S. dollars,Billions,"1,376.26"
193,AUS,PPPGDP,"Gross domestic product, current prices",Purchasing power parity; international dollars,Billions,"1,364.84"
193,AUS,NGDP_D,"Gross domestic product, deflator",Index,,106.135
193,AUS,NGDPRPC,"Gross domestic product per capita, constant prices",National currency,Units,"73,083.89"
193,AUS,NGDPRPPPPC,"Gross domestic product per capita, constant prices",Purchasing power parity; 2011 international dollar,Units,"46,601.00"
193,AUS,NGDPPC,"Gross domestic product per capita, current prices",National currency,Units,"77,567.84"
193,AUS,NGDPDPC,"Gross domestic product per capita, current prices",U.S. dollars,Units,"53,825.16"
193,AUS,PPPPC,"Gross domestic product per capita, current prices",Purchasing power parity; international dollars,Units,"53,378.53"
193,AUS,NGAP_NPGDP,Output gap in percent of potential GDP,Percent of potential GDP,,-0.797
193,AUS,PPPSH,Gross domestic product based on purchasing-power-parity (PPP) share of world total,Percent,,0.962
193,AUS,PPPEX,Implied PPP conversion rate,National currency per current international dollar,,1.453
193,AUS,NID_NGDP,Total investment,Percent of GDP,,22.51
193,AUS,NGSD_NGDP,Gross national savings,Percent of GDP,,22.068
193,AUS,PCPI,"Inflation, average consumer prices",Index,,115.16
193,AUS,PCPIPCH,"Inflation, average consumer prices",Percent change,,1.597
193,AUS,PCPIE,"Inflation, end of period consumer prices",Index,,116.052
193,AUS,PCPIEPCH,"Inflation, end of period consumer prices",Percent change,,1.8
193,AUS,TM_RPCH,Volume of imports of goods and services,Percent change,,-1.164
193,AUS,TMG_RPCH,Volume of Imports of goods,Percent change,,-1.06
193,AUS,TX_RPCH,Volume of exports of goods and services,Percent change,,3.067
193,AUS,TXG_RPCH,Volume of exports of goods,Percent change,,2.382
193,AUS,LUR,Unemployment rate,Percent of total labor force,,5.144
193,AUS,LE,Employment,Persons,Millions,12.872
193,AUS,LP,Population,Persons,Millions,25.569
193,AUS,GGR,General government revenue,National currency,Billions,713.998
193,AUS,GGR_NGDP,General government revenue,Percent of GDP,,36
193,AUS,GGX,General government total expenditure,National currency,Billions,728.299
193,AUS,GGX_NGDP,General government total expenditure,Percent of GDP,,36.721
193,AUS,GGXCNL,General government net lending/borrowing,National currency,Billions,-14.301
193,AUS,GGXCNL_NGDP,General government net lending/borrowing,Percent of GDP,,-0.721
193,AUS,GGSB,General government structural balance,National currency,Billions,-8.259
193,AUS,GGSB_NPGDP,General government structural balance,Percent of potential GDP,,-0.423
193,AUS,GGXONLB,General government primary net lending/borrowing,National currency,Billions,3.234
193,AUS,GGXONLB_NGDP,General government primary net lending/borrowing,Percent of GDP,,0.163
193,AUS,GGXWDN,General government net debt,National currency,Billions,423.239
193,AUS,GGXWDN_NGDP,General government net debt,Percent of GDP,,21.34
193,AUS,GGXWDG,General government gross debt,National currency,Billions,828.221
193,AUS,GGXWDG_NGDP,General government gross debt,Percent of GDP,,41.759
193,AUS,NGDP_FY,"Gross domestic product corresponding to fiscal year, current prices",National currency,Billions,"1,983.33"
193,AUS,BCA,Current account balance,U.S. dollars,Billions,-3.48
193,AUS,BCA_NGDPD,Current account balance,Percent of GDP,,-0.253
122,AUT,NGDP_R,"Gross domestic product, constant prices",National currency,Billions,341.109
122,AUT,NGDP_RPCH,"Gross domestic product, constant prices",Percent change,,1.605
122,AUT,NGDP,"Gross domestic product, current prices",National currency,Billions,398.65
122,AUT,NGDPD,"Gross domestic product, current prices",U.S. dollars,Billions,447.718
122,AUT,PPPGDP,"Gross domestic product, current prices",Purchasing power parity; international dollars,Billions,479.364
122,AUT,NGDP_D,"Gross domestic product, deflator",Index,,116.869
122,AUT,NGDPRPC,"Gross domestic product per capita, constant prices",National currency,Units,"38,111.40"
